comune,anno,genere,popolazione
Fornace  ,2022,Maschi  ,673
Fornace  ,2022,Femmine  ,640
Fornace  ,2022,Totale  ,1313
Fornace  ,2023,Maschi  ,681
Fornace  ,2023,Femmine  ,651
Fornace  ,2023,Totale  ,1332
Fornace  ,2024,Maschi  ,684
Fornace  ,2024,Femmine  ,652
Fornace  ,2024,Totale  ,1336
Frassilongo  ,2022,Maschi  ,173
Frassilongo  ,2022,Femmine  ,165
Frassilongo  ,2022,Totale  ,338
Frassilongo  ,2023,Maschi  ,177
Frassilongo  ,2023,Femmine  ,165
Frassilongo  ,2023,Totale  ,342
Frassilongo  ,2024,Maschi  ,182
Frassilongo  ,2024,Femmine  ,170
Frassilongo  ,2024,Totale  ,352
Garniga Terme  ,2022,Maschi  ,208
Garniga Terme  ,2022,Femmine  ,183
Garniga Terme  ,2022,Totale  ,391
Garniga Terme  ,2023,Maschi  ,204
Garniga Terme  ,2023,Femmine  ,181
Garniga Terme  ,2023,Totale  ,385
Garniga Terme  ,2024,Maschi  ,219
Garniga Terme  ,2024,Femmine  ,189
Garniga Terme  ,2024,Totale  ,408
Giovo  ,2022,Maschi  ,1287
Giovo  ,2022,Femmine  ,1233
Giovo  ,2022,Totale  ,2520
Giovo  ,2023,Maschi  ,1296
Giovo  ,2023,Femmine  ,1242
Giovo  ,2023,Totale  ,2538
Giovo  ,2024,Maschi  ,1284
Giovo  ,2024,Femmine  ,1225
Giovo  ,2024,Totale  ,2509
Giustino  ,2022,Maschi  ,357
Giustino  ,2022,Femmine  ,384
Giustino  ,2022,Totale  ,741
Giustino  ,2023,Maschi  ,360
Giustino  ,2023,Femmine  ,379
Giustino  ,2023,Totale  ,739
Giustino  ,2024,Maschi  ,360
Giustino  ,2024,Femmine  ,380
Giustino  ,2024,Totale  ,740
Grigno  ,2022,Maschi  ,1002
Grigno  ,2022,Femmine  ,1028
Grigno  ,2022,Totale  ,2030
Grigno  ,2023,Maschi  ,1008
Grigno  ,2023,Femmine  ,1028
Grigno  ,2023,Totale  ,2036
Grigno  ,2024,Maschi  ,1002
Grigno  ,2024,Femmine  ,1020
Grigno  ,2024,Totale  ,2022
Imer  ,2022,Maschi  ,609
Imer  ,2022,Femmine  ,562
Imer  ,2022,Totale  ,1171
Imer  ,2023,Maschi  ,613
Imer  ,2023,Femmine  ,572
Imer  ,2023,Totale  ,1185
Imer  ,2024,Maschi  ,609
Imer  ,2024,Femmine  ,568
Imer  ,2024,Totale  ,1177
Isera  ,2022,Maschi  ,1376
Isera  ,2022,Femmine  ,1400
Isera  ,2022,Totale  ,2776
Isera  ,2023,Maschi  ,1389
Isera  ,2023,Femmine  ,1397
Isera  ,2023,Totale  ,2786
Isera  ,2024,Maschi  ,1388
Isera  ,2024,Femmine  ,1415
Isera  ,2024,Totale  ,2803
Lavarone  ,2022,Maschi  ,596
Lavarone  ,2022,Femmine  ,591
Lavarone  ,2022,Totale  ,1187
Lavarone  ,2023,Maschi  ,598
Lavarone  ,2023,Femmine  ,592
Lavarone  ,2023,Totale  ,1190
Lavarone  ,2024,Maschi  ,611
Lavarone  ,2024,Femmine  ,592
Lavarone  ,2024,Totale  ,1203
Lavis  ,2022,Maschi  ,4551
Lavis  ,2022,Femmine  ,4575
Lavis  ,2022,Totale  ,9126
Lavis  ,2023,Maschi  ,4570
Lavis  ,2023,Femmine  ,4605
Lavis  ,2023,Totale  ,9175
Lavis  ,2024,Maschi  ,4571
Lavis  ,2024,Femmine  ,4600
Lavis  ,2024,Totale  ,9171
Ledro  ,2022,Maschi  ,2574
Ledro  ,2022,Femmine  ,2699
