anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2020,Vignola0Falesina,3,109,2,17,5,126,1,40,127,363,133,529
2020,Villa Lagarina,1,23,9,219,10,242,26,85,241,109,277,1417
2020,Ville d'Anaunia,4,94,14,153,18,247,35,106,28,109,81,462
2020,Ville di Fiemme,13,804,19,805,32,1609,312,1317,1185,5117,1529,8043
2020,Volano,0,0,4,28,4,28,0,0,0,0,4,28
2020,Ziano di Fiemme,8,568,4,29,12,597,222,1055,413,1875,647,3527
2020,Provincia,1459,91693,1801,74349,326,166042,25304,115274,44951,199712,73515,481028
2021,Ala,5,146,14,626,19,772,75,340,100,440,194,1552
2021,Albiano,0,0,0,0,0,0,13,50,12,44,25,94
2021,Aldeno,0,0,1,5,1,5,0,0,3,10,4,15
2021,Altavalle,0,0,7,96,7,96,25,103,153,597,185,796
2021,Altopiano della Vigolana,9,373,11,163,20,536,219,804,373,1441,612,2781
2021,Amblar0Don,0,0,4,52,4,52,48,210,147,672,199,934
2021,Andalo,61,4643,12,550,73,5193,458,1761,375,1829,906,8783
2021,Arco,19,134,104,5426,123,6766,254,1006,228,793,605,8565
2021,Avio,2,68,7,181,9,249,1,4,10,40,20,293
2021,Baselga di Pinè,14,684,13,551,27,1235,557,2242,813,3613,1397,709
2021,Bedollo,4,258,5,575,9,833,80,477,111,634,200,1944
2021,Besenello,0,0,2,15,2,15,0,0,0,0,2,15
2021,Bieno,1,25,4,197,5,222,128,485,239,1035,372,1742
2021,Bleggio Superiore,2,27,9,98,11,125,42,168,291,1164,344,1457
2021,Bocenago,1,30,1,4,2,34,77,308,283,1132,362,1474
2021,Bondone,1,19,3,261,4,280,8,30,86,333,98,643
2021,Borgo Chiese,4,126,5,72,9,198,46,256,192,897,247,1351
2021,Borgo d'Anaunia,11,652,15,384,26,1036,231,1066,409,2144,666,4246
2021,Borgo Lares,1,25,1,82,2,107,44,169,35,122,81,398
2021,Borgo Valsugana,1,19,14,317,15,336,5,35,200,998,220,1369
2021,Brentonico,10,730,21,1912,31,2642,476,2108,922,3867,1429,8617
2021,Bresimo,0,0,2,26,2,26,9,31,13,61,24,118
2021,Caderzone Terme,4,188,7,196,11,384,142,822,440,2178,593,3384
2021,Calceranica al Lago,4,125,11,367,15,3795,137,562,152,663,304,502
2021,Caldes,2,63,7,117,9,180,29,109,74,261,112,550
